sentence,emotion
i feel somehow embarrassed,sad
i once watched the series called dynasty on tv,anger
i am now recharged rejuvenated and somehow feeling reluctant to come ba,fear
i was feeling playful or bitter,joy
i jus feel like being a heartless person oblivious to things happening around me not caring about anyone or anything,anger
i wanted mine to have more of a wavy type feeling to it so there were a lot of really gentle curves and a couple spirals here and there,love
i was feeling a little shaky with each one,fear
i definitely wasn t feeling funny or fun,suprise
i love the feeling of opening an assignment and being either surprised in a good way or impressed,suprise
i have to submit grades yeah i need a discipline strategy yeah i need to work on pacing and yeah i want good finished products but if i ve successfully cultivated an environment where some year old girl can feel accepted somewhere then that is a miracle in and of itself,joy
i feel so shocked i always feel very shocked when he yells at me like that,suprise
i feel unsure and unclear but i dont know the reason,fear
im feeling all bouncy right now,joy
i took off my bra that evening my breasts were feeling rather tender,love
i can t shake the feeling of being fundamentally dissatisfied with my selection in the democratic primaries,anger
i feel extremely pleasant when i can play a piece of music with my own hands,joy
ive been feeling really hot and sticky lately,love
im feeling sentimental lately,sad
i gently holding her across the road back to our hotel that feeling is really very sweet,love
i can sit down and create for a while i feel much better,joy
i decided i wanted to do discovery bags for my third graders because i often feel so rushed as i teach my content area curriculum,anger
i feel like boeheim should be admired for defending a friend at the start,love
i would prefer to stay here in a community i ve grown to love and feel valued within myself,joy
i feel more burdened that i need to be able to do these things independently from him and transportation becomes a huge factor,sad
im feeling a little indecisive with color choices ill often reference a few of these images and try to replicate some combination of blue green gray and purpley pink,fear
i feel he would get mad,anger
i have so many more interests but lately all i feel are petty emotions,anger
i have no idea what i feel so i fake what i should be feeling,sad
im feeling a bit cranky today so i may type with a bit of extra snark,anger
i couldnt think and still feel stressed,anger
i walked carefully back to my seat feeling naughty sensual but a heck of lot more comfortable,love
i really feel guilty about them any more,sad
i should be able to freely type out my feelings and emotions without other people being offended by them but im far too weak and scared a person to do that,anger
i wish i knew a word to describe how i m feeling because confused doesn t seem to cover all that i m feeling,fear
i want and she understands my hair and i never leave feeling dissatisfied or disappointed,anger
i started feeling a weird vibe,suprise
i never dreamed i would be so busy so soon in the new year but i am loving it and feeling so very gracious and fortunate,love
i started searching about how existing members feel about it amp i was shocked,suprise
i never expected to be doing something like this but im glad i had the luck to stumble upon it because its changing everything and i feel passionate about it,love
ive gone from feeling enraged to using it as the football teams would say bulletin board material,anger
i feel really badly for the girls who were abused but not for oprah,sad
i got angry at a friend of mine whom i caught reading my notebook almanach,anger
i think about this cycle and i feel superior,joy
i feel that it s very rude of your mother to just go ahead and invite them when you clearly expressed you only wanted her,anger
i feel punished for it,sad
i also am nervous to eat cinnamon because i did scarf down a coffee roll that morning and even while i was eating it the roof of my mouth started feeling funny but not really swollen,suprise
i feel mellow and depressed but hey thats what i was feeling before so yeh its kinda doing jack shit at the moment,joy
i just feel cranky when i have to clean things up all the time,anger
i hear a piercing sound and feel a vicious pain in my legs,anger
i don t feel so nervous doing new things anymore i have more of an this is what i have to do and i will do it type of attitude rather than an i really hope i dont screw up type of attitude,fear
i annual sale and my first giveaway i am feeling very generous,love
i don t want to give up on this life no matter how bleak it feels and part of me thinks that s just because i m not brave enough to take my own life,joy
i too am feeling hopeless about my personal relationships with blacks,sad
i feel rejected all over again,sad
im feeling fall festive this week,joy
i tried so hard to explain to them how unwell i still felt truly for more than a month after my hospitalization i was having problems with my vision with fatigue with short term memory with the general feeling that a dull dark cloud had settled over my cognitive function,sad
i feel like just cant be bothered at all,anger
i cant feel anymore contented than this,joy
i want to love my life i feel as though people say they are loving life when in actuality they are trying so hard to hold on to something positive because the negative that lurks around the corner and no one likes it when youre sad,love
i lay there my eyes closed as i thought about how he had made me feel how there had been a strange twang of pleasure through the pain,suprise
i feel a bit stressed because it feels like im supposed to do something all the time and that i should be reading now,sad
i couldnt help but feel so bitchy maybe because she didnt agree with what i wanted to do,anger
i even feel it is rude,anger
i backed off ot a steady zone to bring it home feeling satisfied i had burned what i needed to burn for weight management,joy
i can afford the euros it just makes me feel really insecure like i don t know what i m in for and isolated,fear
im not afraid just feel strange some ppl treat me different now,suprise
i love the porn industry and i feel satisfied and fulfilled working in it i have to say that it doesn t really bring in the big bucks,joy
i feel her behavior is angry and abusive but we can t discuss it,anger
i was feeling pretty distracted with a few things that have been going on so it felt good to go with a clear mind,anger
illl feel more and more damaged and like this is all some big fucking joke on me,sad
i had janet to do some emdr with me today so i can face this process and not feel so disempowered and frightened,fear
i have on this subject is i feel like we would be more creative without social media,joy
i tell people who a feeling a bit inhibited or shy just fake it till you make it,sad
i absolutely in every way feel incredibly blessed to be pregnant,love
i need to do for work tomorrow feeling burdened by the tedium of the mundane world wishing for something or someone to appear and have a conversation with me about magick tarot wands spells meditation etc,sad
i feel overwhelmingly loved and happy,love
i feel really vulnerable putting all of this out here but if it helps anyone its worth it,fear
i love this country and feel blessed to live in it,love
i promise although i am feeling a little smug about it right now but because a i have all the information ready and b i want to know what i owe the taxman especially as this is the year i will have to start paying my tax on account aka the double tax year,joy
i feel hesitant to reach out and interact with the world,fear
i don t feel excited nor giddy,joy
i can t help but feel all alone sometimes being there for everyone else and feeling like no one is there for me,sad
i am not a christian and i feel weird when i visit to church,suprise
i have an overwhelming feeling that i should have accepted the job with you and i want to find out if there s any chance there is still a position there for me,love
i wont sulk or feel annoyed at im a big girl now,anger
i could feel the effects as soon as i put it on a kind of tranquil feeling,joy
i guess that sounds odd ok i feel dazed like im in fog just not quite with it,suprise
i thankfully got proven wrong by my dearest and got to feel extremely surprised by my own reaction,suprise
ive been listening to a lot of new music since i got back from my trip that i havent been posting here four months with no new music made me feel kind of deprived so ive been downloading new stuff at an abnormal rate,sad
i feel so sympathetic towards them,love
im not going to lie i find the treadmill to be a less than ideal place to exercise and feel myself going mad after about minutes unless im watching something fantastic on netflix that is,anger
i am quite musically disabled and i feel more emotional and connected to cnb when listening to them,sad
i feel heartless but still have heart aches,anger
i still feel disturbed,sad
i feel for cas i feel his loss his desperation and his longing for anna,love
im feeling all nostalgic amp wanna go back to moonfruit,love
i need to let out how i really feel quite frankly im still shocked,suprise
i feel like i am the only one that is dissatisfied,anger
i feel passionate about has been great for my self esteem and confidence,love
i still have yet to find one person with this ambition who has been satisfied enough to feel completely content,joy
ill spend the entire run staring at my garmin constructing excuses in my head and feeling terrible about myself and the embarrassment of having to make my pathetic run public,sad
i feel like a lot of the people against abortion come from supportive families that are financialy stable,love
i find him incredibly cute and i feel really bad for the little guy,sad
i have mixed feelings about reese s romantic conflicts in adaptation,love
i am without feeling timid that is a great place to be,fear
i felt god one of these three women would start praying and i started to feel agitated by them,fear
i have no memories of laughing and being carefree being able to safely explore my boundaries or feeling loved my memories are of worry and constantly striving to be better,love
i complained about last time that made the world feel fake is gone nothing feels phoned in or half assed,sad
i feel like pf changs is a place that im almost embarrassed to say that i love it as much as i do since its so americanized but it is just so good,sad
i mean i should put all this behind all these feelings that bothered me,anger
i can not recall a time when she made me feel hostile unaccepted or anything but loved unique and beautiful,anger
im feeling so shocked and sad for the families and friends of those who died,suprise
i don t loose sight of what it feels like to receive divine love and acceptance as i am carried by river arms in sacred water to the heart of god which resides in me,joy
im not superwoman and of course there are times when i feel overwhelmed and tired when carrying this load feels like a heavy burden,suprise
i didnt feel at all anxious,fear
i feel useless as nothing much i can do to correct things,sad
i admitted i want to feel horny and make him horny but also prevent my self from his horn,love
i thought i would feel fabulous afterwards as i do so love offering ceremony storytelling and performance art,joy
i feel but the love divine excelling comforts me,joy
i think it may be just about the only thing at this point in my life that makes me feel violent,anger
i always feel quite relaxed when im there,joy
i have only taken three rolls shots so far and really i have been feeling my way with a very strange camera a lightmeter and the long forgotten thought processes of slow photography,suprise
i try not to think about my bodys insistence on self annihilation which only increases the disgust i feel at my own rude freak of nature genetics,anger
i am feeling pretty good,joy
im feeling truly dangerous,anger
i will continue to work hard until i do not feel regretful sorry tears it s getting too long hyungjun s turn cried in the end,sad
im perfectly fine with having another weeks left its turned out to be a lot of fun and quite empowering to crossfit while pregnant and i feel amazing yet,suprise
i am feeling a bit unsure about some of these im going to give it a try anyway,fear
i feel something hot and brief flash across my heart and immediately feel a release,love
i feel energized hopeful encouraged,joy
im feeling this way though im uncertain to blurt out everything here,fear
i went in and took tea with her and the next thing i remember is roaming aimlessly near the station without a penny in my pocket and feeling groggy and faint,sad
i am feeling kind of irritated reading lots of stuffs which differentiate love and infatuation,anger
i feeling is very popular now beggars ugg chrystie boots bandits bought a new pair of jeans made a special cut a hole in jeans then a little dirty much like wearing a beggar,joy
i am not in the mood for company so i feeling particularly clever invent a boyfriend then upgrade him to fiance when that doesnt discourage frenchie,joy
i feel better with myself than i would have won,joy
i know it has been a while since i made a new chart and i know that sometimes it is better to just start something even if you are not feeling very creative,joy
i feel apprehensive and i feel bad that some things looked like i may just be lucifer,fear
i first saw the film reds i got a similar old home week feeling these were events people whom i admired and had read about a time of lively disputation ideas energy creativity commitment quite exhilarating,love
i have conjunctivitis in my left eye and my face is red and feels hot and tender and my eyes itch and i just feel generally inflamed,love
i have my story prepared as a georgetown student i feel isolated from the city where i live and this is just one stop on my self guided tour of the dc that tourists don t see,sad
i started to actually feel him i use to scare myself thinking he was mad at me that he was going to leave me then one way i was writing and i thought about how he must see me and before i knew what was happening i was writing his thoughts he kept saying why does she do that to herslef,anger
i am not in favour of her feeling stress at this tender age and i know these tests were inevitable but that still doesnt make me agree with them,love
i feel embarrassed enough,sad
i also feel it is our responsibility as citizens to scrutinize those who use of emotional stories to justify sweeping laws that cause potential harm to thousands of citizens,sad
i feel stronger than i have in years and that is an amazing feeling,suprise
im feeling a tad cranky tonight,anger
i end up feeling really dumb when i have to try,sad
i feel and many of us have gotten too complacent about it,joy
i feel like we are pressured to have the newest and best i,fear
i cant tell you what a peaceful feeling it has brought to my past few days to walk into the kitchen and see this lovely clear counter,love
i feel as if i m in some strange catholic vortex,suprise
i paint because i paint how i feel at the time but i m curious to know the results,suprise
i was feeling resentful enough to want to write about it here which means i need to work on look getting my hackles raised when others judge me,anger
i was feeling seriously unloved over the weekend but that was before i walked in the door monday morning,sad
i am so excited to be getting involved in something i feel so strongly about supporting and getting to meet hopefully he wont really have a choice samuel johnson himself,love
ive ever seen and i could feel the music im still impressed,suprise
i found it to feel more tender than really painful,love
i feel really really tender in my torso which fred said i would because as a female you have to bend your torso a lot and use your abs like ive never done before,love
i feeling foolish when i see people point before they cross the street and have never done it myself,sad
i helped but i often ended up feeling resentful and overextended,anger
i feel pretty a href http becauseshannasaidso,joy
i bet it feels like an amazing holiday almost for reece lol,suprise
i feel everyday but i m really quite shocked that you did not feel this way before,suprise
i also knew for certain that i could not continue to feel disgusted in my own skin,anger
i feel kind of lost and rusty,sad
i feel positive and excited about things again,joy
i find having a race ahead of me is good motivation otherwise i just feel like a casual jogger,joy
i need to put my summer clothes away and get out my winter clothes but that is hard to do when it is degrees on halloween and i feel uncomfortable wearing my colorful tights to work,fear
im sure i will delete this later feeling like it was too messy an entry to stay on the record but for now its just about right,sad
i feel ugly as heck,sad
i feel discontent going back to the places where i grew up i am anxious and fidgety in middle class america,sad
i wasnt going to snack but i started to feel crappy around pm so i had a banana a few nuts and two fried eggs in coconut oil,sad
i feel homesick here even though i shouldnt because ive stopped doing what makes me feel good,sad
i show up i don t feel like here is this rich powerful person who is about to bestow wealth upon me,joy
i don t even particularly know why i am feeling so agitated,anger
i feel so vain a href http www,sad
im not feeling so annoyed that my sister got her cactus before i did,anger
i try and be the best partner i can be to perry giving him all the love i can and never allowing him to feel alone in this relationship,sad
i guess i just feel like if you really care about someone and are loyal to them youll stand up for them,love
i know they re wrong and in the aftermath of every fantasy i feel disgusted with myself,anger
i feel really shocked at somethings people allow to let loose from their voice boxes,suprise
im already thinking how will i take another week off of work how will i have someone care for my son for one whole week how will i get this far again without feeling paranoid and anxious because of what happened,fear
i almost always feel quite amazing after a workout amp especially after my milers in my favorite park,suprise
im feeling particularly inspired by the incredible works of a href http www,joy
i could do whatever made me feel productive prepared or in control i did it,joy
i don t want to feel dissatisfied i want to feel happy and fulfilled i don t want to feel i am lacking of something or nothing at all life would be so emptied,anger
i sometimes feel that all those sites are valuable,joy
i do wonder if ill feel like i cheated if i do this again probably and the conditions are rather more benign,joy
i would give to hear your voice or to feel your tender touch,love
i climbed the set of stairs to the top of the vat and as i got closer to the top i started to feel more and more dazed but i couldn t help myself i just wanted a quick whiff,suprise
i spoke was a feeling that he had been truthful in his choice and although some there believed his choice was indulgent and selfish it was plain that in his mind there was no other choice,joy
i only ever write in this when im feeling melancholy or love lorn,sad
i feel a little relieved and hopeful that i will become nicer and get along better with my husband and family,joy
i feel so passionate about this though,love
i said in the circle i really do feel accepted and part of the community here even though i maybe haven t integrated myself that well in actuality,joy
i still surprised that while i don t exactly look forward to episodes by these writers dabb and loflin i feel strangely reassured now when i see that they ve written something,joy
i just returned frm darshan with mother yesterday and i feel greatfull and i am longing to be with here again,love
i think i will keep my hair like this till the time when i feel disgusted by its length texture colour dirt trapped in it,anger
i feel they cannot be blamed for though it made them sound like the a href http www,sad
i have a feeling i m not going to be accepted so i just want to prepare for the disappointment now however i m going to try to stay as positive as possible,joy
i am feeling something i have never felt before i m impressed by the australian people i think i might be proud,suprise
i shouldnt apologise as i feel so lucky to feel the way i do about these special times in our life,joy
i am tired of feeling like a slug make that a grouchy slug,anger
i am and a and very close to i cant help but feel a little reluctant like i am degrading myself to going to a store that caters to short and small people,fear
im just feeling really disturbed right now and its a conflict between contentment and well self lessness,sad
i imagine they ll stay with me forever and i feel thrilled that i have a copy for my very own so that i can dip back into it whenever i wish,joy
i make myself public i am trying to help other sex workers who are keeping quiet who are feeling shy who are feeling it s the end of the world to be hiv positive,fear
i was out the exit door feeling strange because at the last stage the entire thing seemed to slip out of my hands like a slippery fish and also hopeful that i know what to do and if i can look at it positively it means just one more trip to retry,suprise
i have been fortunate to feel the pain and suffering you have endured,sad
i have a hard time believeing in and feeling scared shitless of white people these days,fear
i caught a glimpse of your profile and i can t help but feel paranoid that you were with her,fear
i also feel that storify does a bad job giving you relevant searches,sad
i feel overwhelmed with gods love knowing that time and time again i didnt listen to what he wanted to give but he patiently waited for me to be ready and never stopped giving,fear
i feel sort of pathetic saying that my iphone internet and tv are my must haves but lets be honest they are,sad
i enjoyed nonetheless as i feel the game would have been boring just fighting xenomorphs,sad
i feel honored to have the chance to speak as a panel in this discussion on rohingya issue,joy
i am sick and tired of people telling me how i should behave how i should feel and what i am afraid of,fear
i let them make me feel vulnerable and sick and scared and afraid,fear
i think not and i feel disillusioned their only goal is to reconquer spaces regions and areas,sad
i feel like basketball twitter is this weird family of anti social people that really like to talk,suprise
i had the feeling that it might but i was kind of surprised that it did,suprise
i feel weird wearing a fitted and lrg shirt now like i m trying to relive an era i already enjoyed,suprise
ive had dinners that left me feeling really impressed with the food,suprise
i feel helpless lost upset and worst of all,fear
i couldnt help but feel amazed that so many people live if in this manner,suprise
i feel intimidated like i just want to turn around and head back into the safety of my yoga class or hop on the tried and trusty treadmill,fear
i feel utterly grumpy today,anger
i feel like he liked it a lot,love
i feel impatient at times fearful at times but it is different than before,anger
i think each time we realize this about an issue we feel a little surprised,suprise
i know its so easy to say tomorrow is another day and that treats arent bad occasionally i just feel rotten that the last week has undone all of my hard work,sad
i should feel so triumphant today but i am really just sitting here a little what,joy
i kind of suspect that they all already think i m psycho people in this church aren t particularly outspoken read they re kind of quiet so i feel very obnoxious all the time but can t really help it because i m just a noisy person,anger
i feel very confident in ascribing that loss to racism no matter how the other feel about that label and who knows what the other are up to,joy
i feel i have to start loving myself more,love
i feel embarrassed that i did not manage to leave yangon on this first jaunt but on the other hand i met a lot of people got to know yangon rather well and now know how to navigate in this occasionally challenging country,sad
i have the affirmation i feel determined to feel confident,joy
i went to visit the memorial wall i saw a lot of names so many lives gone i feel particularly shocked to want to use it in the movie,suprise
i use to watch and laugh at people while they were feeling pain or were soon to be killed because i grew up only caring about my grandparents,love
i m feeling lucky part,joy
i read your blog and i feel more and more inspired girl,joy
i feel like i was faithful in my service to the goddess,joy
i woke up feeling dumb about everything i said and wishing i hadn t been such a baby,sad
im not going to lie sometimes i do feel bitter angry and want to throw something,anger
i was starting to feel a little grumpy and impatient,anger
im not feeling like im being ignored,sad
i have mixed feelings about this prospect because on one hand i adore the language and culture and have very fond memories of the city,love
i feel anxious and have trouble sleeping in addition to anxiety and excitement about the race itself,fear
i feel thats a dangerous time for me to get on because it sets a tone of preoccupation,anger
i am left feeling unsure and confused,fear
i am feeling the pleasant heaviness of sleep creeping up on me,joy
i feel sooo hurt when he is here in kl,sad
i feel absolutely terrible about it and so i want to give you fair warning youre about to hear all about the marathon i just ran,sad
i had a feeling you were being sarcastic but ivspirit a href http translatethis,anger
i am getting divorced and instantly being transported back to feeling like a fucked kid,anger
im feeling quite dazed this morning a lot happened last night,suprise
i feel a little strange now though,suprise
i will say this i feel mortally triggered when i see my beloved suffer as he is and pray to a swift resolution to this situation and a steady smooth recovery of vibrant health well being and homecoming,love
i no longer feel impatient about it either because i know what i need to do and where to apply my attention and effort,anger
i had was a regular request to richter that we stop trying to feel our way through the cloud and his equally stubborn refusal,anger
i currently use my ipod touch for this because i have an app called the iflow reader which so generously scrolls the text for me so i don t have to worry about hitting the pesky touch screen to turn the virtual pages i feel idiotic just typing that please don t judge me,sad
i do feel idiotic when we correspond,sad
i can not tell you how good this makes me feel im funny,suprise
i feel surprised why he asks me such question but still politely answer not too much just one thousand and six hundred dollars,suprise
i feel irritated by others and all the ways the abusive voice in my mind tells me these people are coming up short,anger
i move to face you lying on my side the need and urge to feel your flesh comes over me like a hot wave of desire,love
i just feel so heartbroken,sad
i hear friends and family describe trips they were on nights out on the town new this or that it s hard not to sometimes feel envious,anger
i feel like ive just put my most treasured antique for auction to pay for my dogs debts because he broke my neighbours vase and like most cliched fairytales the highest bidder turns out to be my freaking neighbour,love
i feel humiliated that i have to say,sad
i see a buy handmade sticker or button i feel a little irritable,anger
i feel curious,suprise
i feel so sad lah,sad
im starting to feel anxious about the big to do list before school ends for the summer,fear
i used to feel writing this book about love is so very precious to me,joy
i feel productive right now i know when morning comes i will be kicking myself,joy
i love my friends but i feel resentful angry and aggravated by their experiences,anger
i was feeling somewhat shaky and i know that i was experiencing the onset of the infamous bonk,fear
i didnt feel like explaining to her that im genuinely curious and want to learn and understand and at least have some idea of what people are saying to me,suprise
i and he to definitely didnt exert me the ability make all out effort he even if win also will feel be humiliated by me,sad
i do start to feel repressed with a lot of these restrictions,sad
i feel this way because of his emotional epiphany during vegas week ive never danced like this before,sad
i feel so stressed worried anxious and the list goes on,anger
i feel for my kids who take after their father who has terrible eyesight,sad
i feel like he didn t try someone else should have played him then maybe i would have said i definitely liked this film but i think he ruined it and i love morgan freeman so i don t know what happened there,love
i buy a non stretch jeans and i feel weird in it does not stick to the body the fabric is very soft and gives a lot is a cool and comfortable pants you can move freely sorry i had left a little short i give it four stars because the color they sent me chocolate is lighter than this in the photo,suprise
i am not at liberty of using the actual names of those involved but i long to put pen to paper and perhaps by doing this will release the vast emotions i feel as advocate to a client who was so horribly wronged by a family member so here goes,anger
im watching the weather channel and kinda getting a sinking feeling that nothing that comes forth from this storm is going to be good,joy
i am unable to attend this momentous occasion and because i am feeling rather like a father sending his son out into the world unprotected and alone i offer you these suggestions,fear
i will feel virtuous because i provide my work to the world free of charge,joy
i cud say was i dunno wut my feelins r about leavin except appreciative not only those that miss me dont want me to go etc,joy
i want to be able to eat but i cant bring myself to do so because it just makes me feel disgusted with myself,anger
i could feel how much he has missed me,sad
i completely understand why you d feel disillusioned about positive change in rhode island,sad
i did with getting sick all the time feeling depressed lacking energy sever cramps constant stomach pains ect ect i could go on forever,sad
i myself feel more frantic about it as more idle time passes,fear
i cant quite start up again because my left hip flexor has been feeling tender and slightly painful,love
i hear heavy breathing i smell blood i feel cold bright blades slashing at my heels,anger
i feel not impressed using them having informed me that they re are admiralty if and when they are not even that can put a back along with my suspicions up and i ll take up to speed friend utes experience,suprise
i woke up i was still feeling bad,sad
i think he did too which made me feel like a naughty little girl again,love
i was amplifying or over playing the feeling that i had for the landscape and personified the trees and their movement to create a gentle dance effect with all of the trees,love
i really liked how this organic conditioner performed soft amp silky feel no heaviness or weird residue and it smells amazing,suprise
i feel a little startled caught off guard about it like i just came out of a time capsule years in the future and have lost my orientation,fear
i remember feeling a bit stunned when we received derek s autism diagnosis,suprise
i know how powerful just a hand can feel on your back when you feel helpless and your body is doing something you cannot control,fear
i detached did toddle away from the theater inspired by this film and it made me feel more compassionate towards homeless people which portland has a lot of so it can t be all abominable,love
i was not able to control those feelings without feeling very wronged by the actions,anger
i am feeling generous and giving them a second chance so here i go pimping their website via the blog that only sherri reads,love
i thought about people my age and how many of us feel burdened by technology everything is online even grading in college i was one of the few who still kept a roll book for grades and absences,sad
i feel funny i feel really funny,suprise
i love the drama of friday night lights or to kill a mockingbird or the community feel sweet home alabama i know a guilty pleasure,love
i feel he will become a vital part of mourinhos blue machine once hes settled,joy
i spent so many hours feeling completely out of control of my mind and so many hours trying to fight against it with every form of self medication and self harm i could find that i am amazed i have the ability to form thoughts or press my fingers to these keys,suprise
i am feeling a bit out of touch with the currents of change which for some strange reason are very important to me,suprise
i love the way i feel after a night of sweet deep sleep but my breasts are constantly waking me up out of my sleep turning me into a puffy faced growling beast in the morning,love
i feel im a freaking paranoid judgmental psycho,fear
i feel amazing and i was bored so i just want to share this with the world,suprise
i took it off today because it isnt really my cause and while i want to be an ally it feels weird to champion something that i havent experienced directly,suprise
i feel so delicate that any moment i am going to cascade spectacularly across this arrivals hall at natira airport and leave behind a trail of detritus seventeen time zones wide,love
ill feel better once its done,joy
i am now so versed in going in and out of trance that i no longer need a formal induction and just a mere word when im of the mind to heed can relax me so completely that i am never more than a moment away from feeling amazing,suprise
i wanted this shape which symbolized a slim waistline it was easier to make positive decisions without feeling discouraged,sad
i consistently anticipation it s like that because i feel so admired and i feel so like safe in nature,love
i hope im not repeating myself from other posts but i dont like the answers he gives me sometimes i feel they arent as remorseful as they should be,sad
i am feeling terribly stressed about getting everything done so i can come home and get married who decided it was a good idea to try and finish a masters program the week before the wedding,anger
i am trying out a ketogenic diet and so far i feel fantastic,joy
im sure will feel wonderful to wear,joy
i feel a strange connection that is laying in the background,suprise
im feeling quite proud of it d todays positives james said daddy today,joy
i do think about certain people i feel a bit disheartened about how things have turned out between them it all seems shallow and really just plain bitchy,sad
i can feel him kicking more and more and those kicks arent really on the pleasant side,joy
i know youre loyal i feel your loyal truth and call me loyal ill hold you loyal too and we are loyal keep it that way,love
i feel like what i imagine an asthma exacerbation or having irritable bowel syndrome to be like,anger
i feel like position players are less bothered by moving up and down than pitchers though i don t know why i think that,anger
i tell my friend that when we are apart i feel it physically the longing the desire the pain associated with being so far apart and yet so close,love
i guess i sort of believe him but deep down i just feel unsure about the unknown,fear
i went home even though i was feeling so lousy,sad
i feel intimidated by other girls acne getting rid of pimples,fear
i did feel miserable,sad
i drink a lot of it but i never feel weird tired sick when i dont have any,suprise
i do feel weird why seldom people eat at there,fear
i keep having to check my older posts in order to find replies and it makes me feel at once neurotic and egotistic never mind comments ive left in other peoples posts,fear
i went through the wildflower path feeling more than ever my connection with these delicate fleeting seasonal blooms never bought and sold or found in stores not worth much to anyone but me and people like me,love
i feel defeated by me,sad
i feel like a robotic bug in a jar she said resigned,sad
i know we all have feelings but sincerely from a caring person grow the fuck up,love
i did it to try to protect myself from experiencing any further hurt i might feel from thinking he didnt like me back the way i liked him,love
im feeling apprehensive about it,fear
im still feeling paranoid about sids,fear
i laughed them off because sometimes sometimes im still that forlorn first grader feeling timid aloof and awkward about social interactions and finding my place among my peers,fear
im feeling though that its kind of a blessing in disguise because i know she hated it there and was so bogged down,anger
i can conclude at this point is that i really feel its not just rude but completely wrong for anyone claiming to be a friend to just stop talking to you entirely without some sort of an explanation even one said in anger or at the very least a goodbye,anger
i have had a lot of uncaring men in my life and it still feels strange to have several that call come by and reach out to me when i am at my weakest moments,fear
i feel like ive just been through a ludicrous job interview for a position i am qualified for but have just been made to feel like maybe i wouldnt be able to hack it,suprise
ill be feeling indecisive and put on a podcast or a stream often wfmu,fear
i never get into it i feel some strange feeling to have control to see but at the same way no control at all i read at ruudt peters website don t lose control give it up and maybe that was the thought of this art piece but i wasn t ready for it to give it up,suprise
i did feel that i was working and even when i wasn t directly caring for the children i felt i was on call,love
im feeling invigorated and motivated to create again yay,joy
i want my kitchen to portray a super homely feel macam giving my husband the feel of his virtuous wife cooking for him after a hard day at work,joy
i feel so disadvantaged,sad
i feel horrible it s been a rough week on the childless front,sad
i might feel frustrated with my lack of sleep or overloaded with to dos and want to dos,anger
i feel agitated trying to get everything at the same time i calm down and ask perhaps you could explain to me the benefits of joining the trust scheme,anger
i just really miss that feeling of being so enthralled with god that it is all you talk about,suprise
i woke up feeling majorly stressed out,anger
i will be back for you with their heads on a plate and soon you will be able to feel the gentle kiss of sunlight on your skin,love
i hope you see generosity and gratitude and i hope you feel accepted and loved,joy
i often find myself wanting to watch a movie when i am feeling overwhelmed with work or as the krill says in happy feet i need a temporary escape from the existential terrors of existence,suprise
i feel like being vain so these are two recent photos of myself,sad
i work out i feel strong,joy
i feel any loss of life is mournful but i realize death is as much a part of life as birth,sad
i always feel shitty on christmas,sad
i feel overwhelmed by deadlines and work in progress that at times doesnt seem to be progressing at all but i wouldnt be happy if i didnt have any ongoing projects or challenges,suprise
i feel scared or upset or sensitive,fear
i cant figure out how to not feel selfish all the time,anger
ive been feeling so tortured about the dara and chanyeol ship,anger
im beginning to feel less sympathetic about zacs death and more wondering if she let him fly to subconsciously get rid of him,love
im melancholic and distracted i often find something bizarre to feel romantic about,love
i feel overwhelmed when i think of a country suffering,suprise
i feel life got me in one blow and i was stunned,suprise
i left like there was no one i can trust in ny family and they all made me feel worthless,sad
i feel it belongs in some romantic comedy about three sisters plotting revenge sneaking into a wedding and getting caught,love
i feel so lost so out of it,sad
i might be feelin kinda horny one day and hit her up,love
i had to learn how to feel it and then learn to make use of the energy rather than just being spiteful or turning it against myself or anyone else,anger
i feel quite honoured to find my hand cut paper work featured in a a href http uponafold,joy
i do remember how the album used to make me feel and how much time i devoted to them,love
i felt like i was about to collapse and feeling so low energy that thought i should have stayed home,sad
i feel i will snap amp make the most regretful decision ever by leaving this heartless world,sad
i spend caring for another feeling what they feel and supporting them through their experiences brings me one step closer to the kind of person i want to be,love
i cant begin to tell you how good that makes me feel it really makes me feel like a valuable member of society a feeling that has escaped me lately as looking after holly has turned me into a bit of a hermit,joy
i bought an espresso machine which while not exactly life altering i at least bears a mention i feel as im rather fond of it,love
i had a chat with another designer maker who was also feeling apprehensive about how to make a start in her career through the tangled maze of pricing and approaching retailers,fear
i feel ecstatic yes,joy
i wanted to share because the difference in how i feel today and yesterday versus how i was feeling the last couple months is pretty amazing,suprise
i feel is a dangerous situation,anger
i nevertheless i feel fearful and lacking sometimes,fear
i have something more than a recurring sound i may feel more enthralled to get up sooner,suprise
i feel less intimidated there than i would at any gym back home,fear
i have no excuse except that i am lazy if you have been keeping up with the insanity of my bloggi ness you would know that i gave fair warning early on about how i knew i would never keep up steadily with this i do feel like i should update my faithful ahahahah few like three,love
i feel this has cost me subscribers and it s also bothered me personally,anger
i feel very privileged to work with this group,joy
i feel tortured and alone,anger
i kept it pretty simple again partly due to how i ve been feeling and partly because i think that suits this lovely image from a href http www,love
i sound so english i feel like a traitor to my beloved home town that im leaving for good in september,love
i feel shocked and horrified that suicide has touched the lives of people i care about,suprise
im allowing myself to feel vulnerable today i boarded a flight at am to face either a storm or a tender mercy,fear
i can tell you with the twists and turns we were all feeling a little delicate and quietly were quite pleased that we had an excuse to turn round and go home,love
id feel less paranoid like he said last time was that he was worried that sara would find out that he was close to me some other girl and be hurt,fear
